
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright ? 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
1/14/2026 10:34:35 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /FirstLogon,D59496E30D5DB2EF505FB4C437C57387,645268802366CC6826E2F5A8848A62DA89E546D5,A36B1372A4AD365323306AC00CCE61BB26A48F39,989592413B58447DAA3624A0C7E8C9402D361A85A9FCAD3911852C90C862270A,F431F1AF28EB728760CDF1FCC376D75ECC7BEDCF7DF3C1A56831715DE7ED5665,FA5CD440F32D79EC602926E534594A2F
4/1/2024 12:00:24 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,n/a,enabled,Logon,System-wide,Microsoft .NET IE SECURITY REGISTRATION,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Windows\System32\mscories.dll,2.0.50727.9157,C:\Windows\System32\mscories.dll,E5CC59F160E63421A3FADD5D76D154DB,77DE12B395FC884DFDB8670101DB6593776B4CF1,52E43925EB0413AF800E276C8572EAD762E2F190,FEE8611E65296862FACEA47BC8F3732074C98401010ECF4D11A0E0B2C762E1BA,DC19265881C3D00F2C519C53FC64CF6DD072A870672ECD30A028D875EAB6D7CB,AB8FA7A93A14C9EDE0B84EB9ECAFBAC2
1/14/2026 10:34:58 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Themes Setup,enabled,Logon,System-wide,Windows Theme API,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\themeui.dll,10.0.26100.32230,themeui.dll,6D5DDE34456D99EB4C2C9CCFA1B9C283,5FA7A5AE479A0D6AA05E57499D5DA8F67A614FBD,93FFDF56FC3D5FA9D6F6E550CEE71EDC0CDE81F6,9A29D1E842382C6643BE37CB2BE3419832D94F9346018D9FF39D6BE4089F5819,79B3C25779443EB5579AFEE3F0FEA6ACB88634D98E6C6B7257841E14563F1582,0C65A7282A6681B9D1A1529757FEDD64
1/14/2026 10:34:31 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Web Platform Customizations,enabled,Logon,System-wide,IE Per-User Initialization Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\ie4uinit.exe,11.0.26100.32230,C:\Windows\System32\ie4uinit.exe -UserConfig,075F03B5F881E481F1BDE9D621F033CC,501665D0FA545CE78A47B7989570254021C38A3F,3E2D67C19B53BD1FF688E8FAFA095380FFF42881,40A23BEB02A08E7AF392228D8340B5A1921125AD04425B563226351FBBEF5DC0,FB2F61232D15C43295CFF7A5DDB5CA29C3DABCF7DB0AF6474D7CC3FA93142120,B6A110A3783F353D71DAFB02569D5376
1/14/2026 10:34:55 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Windows Desktop Update,enabled,Logon,System-wide,Windows Shell Common Dll,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\shell32.dll,10.0.26100.32230,shell32.dll,9F926B16DA9AED88EA90AA289E861277,12C554CAB8453ECA03416209FDC93911BC5CE353,8EEF1807A9A92747862EAE5A3167870D264D9A65,41A8A97476BF4200A208006FF35C08114A6ED8A71613D2E626C13DCE9F4AB3B1,FA91CC73B180A9CEDCACCFFD20B23EFEA1CDE1EC527C22908B7011ACBDA64D45,105F6FB6879CF739C6C94991D24D389E
9/17/2026 3:26:32 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib,,,Logon,System-wide,,,,,,,,,,,,
4/1/2024 1:11:17 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\IconServiceLib,IconCodecService.dll,enabled,Logon,System-wide,Converts a PNG part of the icon to a legacy bmp icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\IconCodecService.dll,10.0.26100.1,IconCodecService.dll,EBB5DB0673F1DDF5C851E413A052DC6A,C65553FD9DC7EF5FEC484F2791992E4C64737167,6A94C939C9629E54D59EAB8EB41ACFCDF775AA8B,68721771FE87470186A724866915FA86CAFC3A5B444CBE98E4A791DE3AC22C5A,5F9A77008EE666EC417F50E7740F918598CFD31CED20074FEB34F11503472218,BC4916A3897FAE424D0E5B39B694361B
1/14/2026 10:29:34 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:35 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\Syswow64\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /ShowWMP,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
1/14/2026 10:34:35 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\Syswow64\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /FirstLogon,EF868C12934DD8F6B051AC93618A91F7,3DB967C43313AEB0402645594E126D7F868A191D,FD5DB16064F41E7763472968C5DE071CCE586237,8DA6DC778B71EB3A5D752922A7F50DC6B11B683F05821604ADEFFBFF1C3BDC13,5C45E20E9C49BA4331CCEC6350B8314F37D9B7136906FBE2CAA1FFDD1A0CA906,08CF6BE2BDE79032587AD5BA07627D94
4/1/2024 12:00:24 AM,HKLM\SOFTWARE\Wow6432Node\Microsoft\Active Setup\Installed Components,n/a,enabled,Logon,System-wide,Microsoft .NET IE SECURITY REGISTRATION,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Windows\System32\mscories.dll,2.0.50727.9157,C:\Windows\SysWOW64\mscories.dll,E5CC59F160E63421A3FADD5D76D154DB,77DE12B395FC884DFDB8670101DB6593776B4CF1,52E43925EB0413AF800E276C8572EAD762E2F190,FEE8611E65296862FACEA47BC8F3732074C98401010ECF4D11A0E0B2C762E1BA,DC19265881C3D00F2C519C53FC64CF6DD072A870672ECD30A028D875EAB6D7CB,AB8FA7A93A14C9EDE0B84EB9ECAFBAC2
9/22/2026 5:39:23 AM,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,WIN-DQK5HKD6L30\Administrator,,,,,,,,,,,,
1/14/2026 10:34:40 AM,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,LAB3_Run_Demo,enabled,Logon,WIN-DQK5HKD6L30\Administrator,Notepad,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\notepad.exe,10.0.26100.7309,notepad.exe,9E60393DA455F93B0EC32CF124432651,633FD6744B1D1D9AD5D46F8E648209BFDFB0C573,7E425C58A1D8462B5F6113796DAA5B038CD67993,DD2E69EC4F93951B4E5FFB85A48D3B3BC9D603D15F58D4DE2390CC1B1F3F96FB,84B484FD3636F2CA3E468D2821D97AACDE8A143A2724A3AE65F48A33CA2FD258,0E6BCCF88F4251909D1746DBA78CBA57
